Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-05-20,91.93,93.589996,90.400002,91.860001,90.249519,28795000,67
2022-05-23,92.660004,94.769997,92.550003,93.889999,92.243935,27239300,68
2022-05-24,92.82,94.790001,92.32,94.400002,92.744995,24293300,69
2022-05-25,94.580002,96.529999,94.470001,96.300003,94.611679,29947800,70
2022-05-26,96.599998,97.43,96.199997,96.639999,94.945724,24314800,71
2022-05-27,95.949997,97.93,95.300003,97.589996,95.879059,25588800,72
2022-05-31,98.559998,99.779999,95.709999,96,94.31694,44888100,73
2022-06-01,97.019997,98.709999,96.620003,97.839996,96.12468,25815400,74
2022-06-02,97.290001,98.099998,96.790001,97.669998,95.957657,19089100,75
2022-06-03,97.900002,99.660004,97.900002,99.089996,97.35276,21038200,76
2022-06-06,99.18,99.779999,98.669998,98.839996,97.107147,20682100,77
2022-06-07,99.699997,103.43,99.489998,103.370003,101.557732,37810200,78
2022-06-08,103.489998,105.57,102.980003,104.589996,102.75634,31613200,79
2022-06-09,103.419998,104.57,102.160004,102.330002,100.535965,26607000,80
2022-06-10,101.940002,103.349998,99.790001,100.459999,98.698746,30950500,81
2022-06-13,97.519997,97.769997,93.919998,95.849998,94.169571,33421000,82
2022-06-14,97.410004,98.669998,95.269997,96.099998,94.415192,31264000,83
2022-06-15,95.989998,96.57,93.269997,94.889999,93.226402,29620800,84
2022-06-16,92.410004,93.129997,90.279999,91.389999,89.787758,35696700,85
2022-06-17,90.959999,91.349998,85.660004,86.120003,84.610161,64610200,86
2022-06-21,88.580002,92.529999,88.519997,91.480003,89.87619,35951500,87
2022-06-22,87.540001,89.760002,87.529999,87.860001,86.319656,29727200,88
2022-06-23,88.660004,89.050003,83.519997,85.209999,83.71611,35757200,89
2022-06-24,86.949997,88.400002,85.809998,86.900002,85.37648,26639000,90
2022-06-27,87.809998,90.040001,87.669998,89.029999,87.469139,25478700,91
2022-06-28,91.120003,93.239998,90.349998,91.5,89.895828,33096900,92
2022-06-29,92.980003,93.199997,87.760002,88.120003,86.575096,25400900,93
2022-06-30,86.139999,87.599998,84.669998,85.639999,84.138573,39948100,94
2022-07-01,86.739998,87.879997,84.709999,87.550003,86.015091,26327900,95
2022-07-05,86.339996,86.699997,83.010002,84.809998,83.32312,34591100,96
2022-07-06,83.760002,85.230003,81.010002,83.279999,81.819946,33375700,97
2022-07-07,85.379997,86.760002,85.300003,85.940002,84.433311,23817400,98
2022-07-08,86.949997,87.300003,84.93,86.080002,84.570862,17673800,99
2022-07-11,85.169998,86.120003,84.360001,85.639999,84.138573,15603800,100
2022-07-12,83.779999,85.050003,82.860001,84.5,83.018555,21013000,101
2022-07-13,83.379997,86.309998,83.300003,84.839996,83.3526,19928600,102
2022-07-14,81.849998,83.309998,80.690002,83.139999,81.682404,26343000,103
2022-07-15,84.800003,84.879997,82.900002,84.540001,83.057861,17243700,104
2022-07-18,86.580002,87.940002,85.75,86.099998,84.5905,19395800,105
2022-07-19,86.419998,88.519997,86.25,88.269997,86.722458,18248900,106
2022-07-20,87.580002,89.650002,87.25,89.239998,87.675453,16584400,107
2022-07-21,86.93,87.800003,85.209999,87.75,86.211578,21375700,108
2022-07-22,87.550003,88.470001,86.629997,87.080002,85.553322,15479500,109
2022-07-25,88.160004,90.129997,87.419998,89.980003,88.402489,17536400,110
2022-07-26,91.129997,91.279999,89,89.629997,88.058617,15141200,111
2022-07-27,90.279999,92,89.400002,91.57,89.964607,18047000,112
2022-07-28,92.18,93.25,91.010002,92.639999,91.015854,20353100,113
2022-07-29,94.449997,97.519997,94.099998,96.93,95.230637,29825800,114
2022-08-01,94.790001,95.349998,93.230003,94.480003,92.823593,20793200,115
2022-08-02,94.690002,95.199997,93.82,94.07,92.420776,16722500,116
2022-08-03,94.419998,94.419998,90.790001,91.019997,89.424248,23580800,117
2022-08-04,90.309998,90.339996,86.43,87.190002,85.6614,31821500,118
2022-08-05,86.360001,89.690002,86.279999,88.449997,86.8993,17408000,119
2022-08-08,88.610001,89.599998,88.220001,88.949997,87.390541,14458500,120
2022-08-09,90.050003,91.610001,89.949997,90.589996,89.001785,19083400,121
2022-08-10,90.68,91.790001,89.190002,91.449997,89.84671,18302000,122
2022-08-11,91.839996,94.300003,91.440002,93.190002,92.445793,18797900,123
2022-08-12,92.480003,94.019997,92.110001,94,93.249321,15058200,124
2022-08-15,90.529999,92.730003,89.660004,92.32,91.582733,20755200,125
2022-08-16,92.029999,92.889999,91.290001,91.459999,90.729607,14038200,126
2022-08-17,91.269997,93.209999,90.919998,92.199997,91.463692,13678000,127
2022-08-18,93.150002,95.309998,93.089996,94.379997,93.626282,17770400,128
2022-08-19,94.160004,95.199997,93.800003,94.080002,93.328682,16128600,129
2022-08-22,93.419998,94.489998,91.860001,94.010002,93.259239,16019900,130
2022-08-23,95.550003,98.410004,95.449997,98,97.217377,23764700,131
2022-08-24,98.010002,98.970001,97.360001,98.580002,97.792747,17050300,132
2022-08-25,98.919998,99.860001,98.099998,99.089996,98.298668,15305700,133
2022-08-26,98.769997,99.910004,97.419998,97.870003,97.088417,15531400,134
2022-08-29,98.18,101.559998,98.139999,100.120003,99.32045,23059200,135
2022-08-30,98.360001,98.620003,95.82,96.309998,95.540871,17086800,136
2022-08-31,94.029999,96.839996,93.589996,95.589996,94.826622,18340900,137
2022-09-01,94.419998,95.07,92.290001,93.870003,93.120361,16423000,138
2022-09-02,96.349998,96.790001,95.110001,95.589996,94.826622,18206800,139
2022-09-06,96.160004,96.589996,94.510002,94.949997,94.191734,19201500,140
2022-09-07,93.190002,94.589996,92.300003,94.139999,93.388199,16274700,141
2022-09-08,94.660004,95.419998,93.720001,94.910004,94.152054,18759200,142
2022-09-09,96.519997,97,95.32,96.5,95.729355,17158000,143
2022-09-12,97.650002,99.190002,96.879997,97.610001,96.83049,16118900,144
2022-09-13,96.610001,97.779999,94.910004,95.330002,94.568703,18229100,145
2022-09-14,96.190002,98.559998,96.150002,97.669998,96.890007,22655700,146
2022-09-15,96.220001,96.540001,94.050003,94.830002,94.072693,21092300,147
2022-09-16,95.07,95.339996,92,93.209999,92.46563,37874700,148
2022-09-19,91.010002,93.489998,91,93.199997,92.455704,15342100,149
2022-09-20,92.730003,92.93,91.639999,92.440002,91.701782,14712500,150
2022-09-21,93.57,93.879997,90.870003,90.949997,90.223679,17332400,151
2022-09-22,92.199997,92.660004,90.519997,90.57,89.84671,16139400,152
2022-09-23,87.5,87.5,84.849998,85.75,85.065208,27738800,153
2022-09-26,84.900002,86.220001,83.889999,83.980003,83.309341,22043400,154
2022-09-27,85.610001,86.959999,84.809998,85.739998,85.055283,17307300,155
2022-09-28,86.120003,89.300003,85.919998,88.860001,88.150368,19543300,156
2022-09-29,88.18,89.360001,87.129997,88.68,87.971809,17896000,157
2022-09-30,88.169998,89.040001,87.309998,87.309998,86.612747,21357600,158
2022-10-03,90.040001,92.360001,89.720001,91.919998,91.185928,23881300,159
2022-10-04,93.239998,95.360001,92.709999,95.269997,94.509178,22133700,160
2022-10-05,95.75,99.989998,95.660004,99.120003,98.328438,34857700,161
2022-10-06,98.470001,102.18,98.330002,102.059998,101.244949,29124700,162
2022-10-07,102.190002,103.32,100.18,101.029999,100.223175,24507600,163
2022-10-10,101.489998,102.029999,98.720001,98.839996,98.050667,16786100,164
2022-10-11,97.220001,99.760002,96.75,98,97.217377,17804100,165
2022-10-12,97.5,98.910004,97.230003,98.43,97.643944,12635800,166
2022-10-13,97.550003,102.449997,97.400002,101.870003,101.056473,22019100,167
2022-10-14,101.120003,102.239998,99.040001,99.190002,98.397873,15222000,168
2022-10-17,101.07,101.970001,100.5,100.620003,99.81646,14283200,169
2022-10-18,101.540001,102.349998,99.230003,100.800003,99.995018,14065400,170
2022-10-19,101.25,103.989998,101.230003,103.790001,102.961136,20921700,171
2022-10-20,104.32,105,103.410004,103.93,103.100021,17649000,172
2022-10-21,104.449997,106.400002,103.910004,105.860001,105.01461,22814100,173
2022-10-24,105.660004,107.68,105.120003,106.599998,105.748695,17024200,174
2022-10-25,106.410004,107.330002,105.07,105.879997,105.034447,15719800,175
2022-10-26,106.260002,107.830002,106,107.139999,106.284386,17383800,176
2022-10-27,108.410004,109.580002,107.419998,107.550003,106.691116,18214000,177
2022-10-28,109.459999,111.209999,108.120003,110.699997,109.815956,28169400,178
2022-10-31,109.5,112.910004,109.440002,110.809998,109.925072,26401800,179
2022-11-01,112.370003,112.57,110.650002,111.910004,111.016296,22213100,180
2022-11-02,111.580002,112.099998,109.309998,109.610001,108.734657,20654200,181
2022-11-03,108.580002,111.82,108.309998,111.099998,110.212761,17103700,182
2022-11-04,113,113.5,110.800003,112.309998,111.413094,17541500,183
2022-11-07,112.410004,113.989998,112.129997,113.639999,112.732475,16008000,184
2022-11-08,113.480003,114.660004,112.599998,114,113.0896,14661000,185
2022-11-09,113.099998,113.279999,108.57,108.900002,108.030334,19522800,186
2022-11-10,110.190002,110.699997,107.57,110.5,109.617554,20146700,187
2022-11-11,112.580002,114.5,112.489998,113.949997,113.040001,20518900,188
2022-11-14,112.629997,114.639999,112.489998,113.370003,113.370003,20858300,189
2022-11-15,113.800003,114.529999,112.870003,114.129997,114.129997,19373800,190
2022-11-16,113.440002,114.260002,111.860001,112.910004,112.910004,13591000,191
2022-11-17,111.290001,113.199997,110.75,113.059998,113.059998,12425900,192
2022-11-18,110.900002,112.480003,109.610001,112.080002,112.080002,15415000,193
2022-11-21,109.989998,111.199997,107.480003,110.970001,110.970001,20973000,194
2022-11-22,112.209999,114.470001,111.43,114.18,114.18,17719100,195
2022-11-23,112.32,113.949997,112.099998,113.610001,113.610001,11546700,196
2022-11-25,113.879997,114.610001,113.059998,113.209999,113.209999,7136000,197
